date,cases,cum_cases,deaths,cum_deaths,mask_required,population,current_population,incidence_rate,spread_category,removed,cum_removed,infected,susceptible,transmission_rate,infection_rate,r0,derivative
2021-01-02,473,92473,1,1003,Yes,945726,944723,50.067585948473784,red,775,86119,6354,938335.0,0.0067715687893982425,0.05040843621947386,0.09673669699140346,-0.009124642459899295
2021-01-03,369,92733,0,1003,Yes,945726,944723,39.05906810779456,red,619,86738,5995,938597.0,0.006387192799465586,0.03931399738119768,0.09124561142093693,-0.011521079144416498
2021-01-04,257,92861,0,1004,Yes,945726,944722,27.203769997946488,red,463,87201,5660,939112.0,0.006026970159043863,0.02736627793064086,0.0860995737006266,-0.0012981811900161476
2021-01-05,345,93509,1,1008,Yes,945726,944718,36.51883419179057,red,341,87542,5967,939603.0,0.006350554436288518,0.036717635001165386,0.0907222062326931,0.013833898178954003
2021-01-06,517,94284,2,1011,Yes,945726,944715,54.725499224633886,red,387,87929,6355,939418.0,0.006764826733147544,0.05503407428854887,0.09664038190210776,0.01955450157620669
2021-01-07,712,94998,3,1013,Yes,945726,944713,75.36680452158487,red,501,88430,6568,938984.0,0.006994794373493052,0.07582663815357876,0.09992563390704359,0.00950394069960251
2021-01-08,695,95594,1,1013,Yes,945726,944713,73.56731621137848,red,447,88877,6717,938657.0,0.007155968580642344,0.07404195568775389,0.1022281225806049,-0.006695349459438584
2021-01-09,586,96043,1,1014,Yes,945726,944712,62.02948623495838,red,336,89213,6830,938562.0,0.0072770898459558345,0.062435939234701594,0.10395842637079762,-0.012462079105383935
2021-01-10,461,96381,0,1015,Yes,945726,944711,48.7979921902042,red,271,89484,6897,938560.0,0.007348491305830208,0.04911779747698602,0.10497844722614581,-0.013105077286775596
2021-01-11,340,96615,0,1015,Yes,945726,944711,35.98984239624605,red,238,89722,6893,938558.0,0.007344245107920875,0.0362257846611504,0.10491778725601249,-0.004475689260496643
2021-01-12,377,97174,2,1022,Yes,945726,944704,39.90667976424361,red,313,90035,7139,938595.0,0.007606049467555229,0.04016641895599273,0.10865784953650326,0.00634691365360426
2021-01-13,459,97758,3,1025,Yes,945726,944701,48.58680153826449,red,405,90440,7318,938274.0,0.007799427459356223,0.04891961196835892,0.11142039227651745,0.009820746053062702
2021-01-14,561,98299,5,1030,Yes,945726,944696,59.38418284823901,red,518,90958,7341,938003.0,0.00782620098229963,0.059807911062118135,0.111802871175709,0.004328924187582631
2021-01-15,540,98795,2,1029,Yes,945726,944697,57.16118501487779,red,540,91498,7297,937867.0,0.0077804208912351114,0.057577460343524185,0.1111488698747873,-0.005167552822422972
2021-01-16,464,99152,26,1103,Yes,945726,944623,49.12012517162932,red,473,91971,7181,937889.0,0.007656556372875682,0.04947280541727219,0.10937937675536687,-0.008267917270406974
2021-01-17,385,99455,25,1104,Yes,945726,944622,40.75704355816401,red,369,92340,7115,938072.0,0.007584705651591775,0.04104162580271024,0.1083529378798825,-0.01072082890145202
2021-01-18,263,99584,30,1121,Yes,945726,944605,27.842325628172624,red,257,92597,6987,938242.0,0.007446906022113698,0.02803114761436815,0.10638437174448138,-0.007840761499197166
2021-01-19,238,99867,6,1123,Yes,945726,944603,25.19577007483567,red,345,92942,6925,938482.0,0.0073789374756255315,0.025360102804315904,0.10541339250893615,0.0007959890151538924
2021-01-20,278,100290,7,1127,Yes,945726,944599,29.430477906497888,red,517,93459,6831,938456.0,0.007278977384128824,0.029623125644675934,0.10398539120184033,0.006768401140420837
2021-01-21,365,100680,4,1133,Yes,945726,944593,38.6409808245456,red,712,94171,6509,938378.0,0.00693643712874769,0.03889690508515758,0.09909195898210985,0.006019439676316808
2021-01-22,391,101042,3,1134,Yes,945726,944592,41.39353286921761,red,695,94866,6176,938505.0,0.006580678845610839,0.04166200499730955,0.09400969779444054,-0.0005957010527321144
2021-01-23,354,101352,2,1135,Yes,945726,944591,37.476537464362885,red,586,95452,5900,938855.0,0.0062842504966155585,0.03770550297969335,0.08977500709450797,-0.005605926905622111
2021-01-24,286,101538,1,1136,Yes,945726,944590,30.277686615356927,red,461,95913,5625,939240.0,0.005988884630126486,0.030450151186065328,0.08555549471609264,-0.006560809895193403
2021-01-25,231,101737,1,1137,Yes,945726,944589,24.455080463566695,red,340,96253,5484,939640.0,0.005836277723383423,0.024583883189306543,0.08337539604833462,-0.0035749248326342395
2021-01-26,219,102010,3,1146,Yes,945726,944580,23.184907577971163,red,377,96630,5380,939902.0,0.005724001012871555,0.02330030152079685,0.0817714430410222,0.0006340166018404432
2021-01-27,243,102268,5,1151,Yes,945726,944575,25.725855543498398,red,459,97089,5179,939969.0,0.005509756172809954,0.02585191639298743,0.07871080246871362,0.0023379014219504623
2021-01-28,263,102528,5,1154,Yes,945726,944572,27.843298340412378,red,561,97650,4878,940088.0,0.00518887593501885,0.027976104364697774,0.07412679907169785,0.0013250098590042343
2021-01-29,268,102816,5,1163,Yes,945726,944563,28.372908953664286,red,540,98190,4626,940287.0,0.004919774494383098,0.0285019361109959,0.07028249277690139,0.0004182589514437479
2021-01-30,271,103083,4,1163,Yes,945726,944563,28.69051614344411,red,464,98654,4429,940560.0,0.004708896827421961,0.02881262226758527,0.06726995467745658,-0.0009648694598917151
2021-01-31,250,103280,3,1164,Yes,945726,944562,26.467293835661398,red,385,99039,4241,940833.0,0.004507707531517283,0.026572197191212468,0.06439582187881832,-0.0038335770991523195
2021-02-01,199,103415,0,1164,Yes,945726,944562,21.06796589318647,red,263,99302,4113,941100.0,0.00437041759642971,0.02114546806928063,0.062434537091852996,-0.0028755180463949943
2021-02-02,196,103672,6,1181,Yes,945726,944545,20.750731833845926,red,238,99540,4132,941350.0,0.004389440696871514,0.02082116109842248,0.06270629566959306,0.001112536999909845
2021-02-03,220,103941,5,1181,Yes,945726,944545,23.2916377726842,red,278,99818,4123,941356.0,0.004379852043222755,0.02337054206910032,0.06256931490318221,0.003346623392041781
2021-02-04,259,104194,14,1208,Yes,945726,944518,27.42139376909704,red,365,100183,4011,941325.0,0.004261015058561071,0.02751440788250604,0.06087164369372958,0.0011154938244289647
2021-02-05,241,104396,9,1209,Yes,945726,944517,25.51568685370406,red,391,100574,3822,941350.0,0.004060126414192383,0.02560152971795825,0.05800180591703404,-0.0022331994930935156
